id,place_bounding_box_0_0,place_bounding_box_1_0,place_bounding_box_0_1,place_bounding_box_1_1
739225983765471232,-97.13784,-97.087984,33.052803,33.077646
739239721923055617,-96.8325801,-96.83258,32.8441999,32.8442
739262015256952832,-75.280284,-74.955712,39.871811,40.13792
739265605560238082,-111.960775,-111.756022,33.435864,33.842816
739489217605185536,-76.547738,-76.469987,42.41815,42.480827
739512448760188928,-90.285434,-90.221258,29.969126,30.049577
739581885945380864,-74.026675,-73.910408,40.683935,40.877483
739635005542928384,-96.977527,-96.54598,32.620678,33.019039
739811613566337026,-71.191421,-70.986004,42.227797,42.399542
739840282183802880,-96.977527,-96.54598,32.620678,33.019039
739885227368157185,-83.929955,-83.861075,33.944031,34.011365
739909823924441088,-76.448383,-76.143408,36.66,36.866431
739922201982312449,-122.1649,-121.958642,47.626845,47.73078
739925074757586944,-83.200169,-82.771375,39.832013,40.157354
739930943792680964,-87.940033,-87.523993,41.644102,42.023067
739933387058614272,-98.778559,-98.302744,29.141956,29.693046
739954534513016832,-82.434848,-82.249689,34.687331,34.904552
739995553296089088,-120.198937,-120.178619,36.599014,36.614558
739999685449023488,-78.042253,-77.996747,43.217211,43.24021
740012130485862400,-76.334287,-76.177085,36.820791,36.969373
740022879799156736,-84.576827,-84.289385,33.647503,33.886886
740037820421529604,-92.984787,-92.86283,44.861854,44.948985
740170132501221376,-79.007589,-78.783292,35.866334,36.115631
740183106691473409,-79.007589,-78.783292,35.866334,36.115631
740188693055602688,-79.007589,-78.783292,35.866334,36.115631
740191621816291331,-111.686314,-111.582748,33.196614,33.288127
740197429044219904,-90.135782,-89.708276,34.994192,35.272849
740226370551308288,-83.312805,-83.217437,42.268212,42.357044
740235068476624898,-88.491765,-88.392355,42.270987,42.350431
740295692640505860,-96.977527,-96.54598,32.620678,33.019039
740371182440980480,-120.198937,-120.178619,36.599014,36.614558
740484767267880960,-76.9375601,-76.93756,38.8898459,38.889846
740486293386190848,-94.285935,-94.151554,36.307631,36.44036
740494706153508866,-77.274342,-77.217659,38.86503,38.890139
740523048084733952,-105.109815,-104.734372,39.614151,39.812975
740541550057402368,-83.200169,-82.771375,39.832013,40.157354
740543428539387904,-77.429284,-77.384368,38.920978,38.948501
740548444159377408,-84.63184,-84.483958,42.618566,42.805532
740569837504630786,-94.733122,-94.385441,38.868002,39.332095
740575185418391553,-118.668404,-118.155409,33.704538,34.337041
740580638185684992,-90.135782,-89.708276,34.994192,35.272849
740585610512109568,-73.920556,-73.73002,42.702071,42.791154
740591680181698562,-71.191421,-70.986004,42.227797,42.399542
740617944363880448,-95.120569,-95.010182,29.422182,29.491047
740618286862348288,-95.505362,-95.434776,29.507337,29.567483
740619228714311680,-95.287557,-95.231494,29.953846,30.032521
740619399120486400,-95.113868,-95.000382,29.601579,29.730034
740619655908331520,-106.645646,-93.508131,25.837092,36.500695
